meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1232,9496,1,3,,,MEDIUM,0
1232,9496,1,23,,,SOFT,0
1232,9496,1,1,1.0,1.0,MEDIUM,0
1232,9496,1,2,1.0,1.0,SOFT,0
1232,9496,1,4,1.0,1.0,MEDIUM,0
1232,9496,1,10,1.0,1.0,SOFT,0
1232,9496,1,11,1.0,1.0,MEDIUM,0
1232,9496,1,14,1.0,1.0,SOFT,0
1232,9496,1,16,1.0,1.0,MEDIUM,0
1232,9496,1,18,1.0,1.0,SOFT,0
1232,9496,1,20,1.0,1.0,MEDIUM,0
1232,9496,1,22,1.0,1.0,MEDIUM,0
1232,9496,1,24,1.0,1.0,MEDIUM,0
1232,9496,1,27,1.0,1.0,SOFT,0
1232,9496,1,31,1.0,1.0,SOFT,0
1232,9496,1,44,1.0,1.0,MEDIUM,0
1232,9496,1,55,1.0,1.0,MEDIUM,0
1232,9496,1,63,1.0,1.0,MEDIUM,0
1232,9496,1,77,1.0,1.0,SOFT,0
1232,9496,1,81,1.0,1.0,MEDIUM,0
1232,9496,2,27,2.0,5.0,SOFT,1
1232,9496,2,77,2.0,6.0,SOFT,0
1232,9496,2,22,2.0,7.0,SOFT,0
1232,9496,2,24,2.0,7.0,SOFT,0
1232,9496,2,4,2.0,11.0,MEDIUM,0
1232,9496,2,18,2.0,12.0,SOFT,0
1232,9496,2,81,2.0,12.0,MEDIUM,1
1232,9496,2,14,2.0,13.0,SOFT,1
1232,9496,2,11,2.0,15.0,MEDIUM,1
1232,9496,2,55,2.0,15.0,MEDIUM,0
1232,9496,2,1,2.0,16.0,MEDIUM,1
1232,9496,2,10,2.0,16.0,HARD,0
1232,9496,2,31,2.0,19.0,HARD,0
1232,9496,2,2,2.0,22.0,HARD,0
1232,9496,2,20,2.0,22.0,MEDIUM,0
1232,9496,2,63,2.0,22.0,HARD,0
1232,9496,2,44,2.0,23.0,HARD,0
1232,9496,2,16,2.0,26.0,MEDIUM,0
1232,9496,3,27,6.0,33.0,HARD,0
1232,9496,3,77,7.0,22.0,HARD,0
1232,9496,3,24,8.0,11.0,HARD,0
1232,9496,3,22,8.0,22.0,HARD,0
1232,9496,4,24,12.0,12.0,HARD,4
1232,9496,3,4,12.0,26.0,HARD,0
1232,9496,3,18,13.0,22.0,MEDIUM,0
1232,9496,3,81,13.0,32.0,HARD,0
1232,9496,3,14,14.0,33.0,MEDIUM,0
1232,9496,3,11,16.0,33.0,MEDIUM,0
1232,9496,3,55,16.0,36.0,MEDIUM,1
1232,9496,3,10,17.0,32.0,MEDIUM,0
1232,9496,3,1,17.0,34.0,MEDIUM,0
1232,9496,3,31,20.0,33.0,HARD,0
1232,9496,3,2,23.0,34.0,HARD,0
1232,9496,4,18,23.0,34.0,HARD,0
1232,9496,3,63,23.0,37.0,HARD,0
1232,9496,3,20,23.0,52.0,HARD,0
1232,9496,4,22,23.0,52.0,HARD,0
1232,9496,4,77,23.0,52.0,HARD,0
1232,9496,3,44,24.0,39.0,HARD,0
1232,9496,3,16,27.0,53.0,HARD,0
1232,9496,4,4,27.0,53.0,HARD,0
1232,9496,4,10,33.0,52.0,HARD,0
1232,9496,4,81,33.0,53.0,HARD,0
1232,9496,4,27,34.0,52.0,HARD,0
1232,9496,4,31,34.0,52.0,MEDIUM,0
1232,9496,4,11,34.0,53.0,HARD,0
1232,9496,4,14,34.0,53.0,HARD,0
1232,9496,4,2,35.0,41.0,MEDIUM,0
1232,9496,5,18,35.0,52.0,SOFT,0
1232,9496,4,1,35.0,53.0,HARD,0
1232,9496,4,55,37.0,53.0,HARD,0
1232,9496,4,63,38.0,53.0,MEDIUM,1
1232,9496,4,44,40.0,53.0,MEDIUM,0
1232,9496,5,2,42.0,52.0,SOFT,0
